recording_id,word,start_time,end_time
20150504083857481_m0002_31,my,1.14,1.28
20150504083857481_m0002_31,password,1.35,1.88
20150817100008087_m0002_31,My,0.37,0.50
20150817100008087_m0002_31,voice,0.57,0.88
20150817100008087_m0002_31,is,0.99,1.08
20150817100008087_m0002_31,my,1.14,1.28
20150817100008087_m0002_31,password,1.35,1.88
20150406083433287_m0002_31,My,0.37,0.50
20150406083433287_m0002_31,voice,0.57,0.88
20150406083433287_m0002_31,is,0.99,1.08
20150406083433287_m0002_31,my,1.14,1.28
20150406083433287_m0002_31,password,1.35,1.88
20150427075231842_m0002_31,My,0.37,0.50
20150427075231842_m0002_31,voice,0.57,0.88
20150427075231842_m0002_31,is,0.99,1.08
20150427075231842_m0002_31,my,1.14,1.28
20150427075231842_m0002_31,password,1.35,1.88
20150413094736322_m0002_31,My,0.37,0.50
20150413094736322_m0002_31,voice,0.57,0.88
20150413094736322_m0002_31,is,0.99,1.08
20150413094736322_m0002_31,my,1.14,1.28
20150413094736322_m0002_31,password,1.35,1.88
20150803095015613_m0002_31,My,0.37,0.50
20150803095015613_m0002_31,voice,0.57,0.88
20150803095015613_m0002_31,is,0.99,1.08
20150803095015613_m0002_31,my,1.14,1.28
20150803095015613_m0002_31,password,1.35,1.88
20150622092328275_m0002_31,My,0.37,0.50
20150622092328275_m0002_31,voice,0.57,0.88
20150622092328275_m0002_31,is,0.99,1.08
20150622092328275_m0002_31,my,1.14,1.28
20150622092328275_m0002_31,password,1.35,1.88
